variant	score	status	mutation
baseline	0.85	keep	{}
baseline	0.85	keep	{}
variant_1	0.925	keep	{"hook_type": "personal_anecdote"}
variant_2	0.925	discard	{"vocab_register": "street", "emotional_arc": "escalating"}
baseline	0.85	keep	{}
variant_1	0.8	discard	{"hook_type": "curiosity_gap"}
variant_2	0.925	keep	{"vocab_register": "balanced", "rhythm": "flowing"}
baseline	0.85	keep	{}
variant_1	0.8	discard	{"hook_type": "pattern_interrupt"}
variant_2	0.925	keep	{"data_density": "medium", "emotional_arc": "escalating"}
baseline	0.85	keep	{}
variant_1	0.925	keep	{"data_density": "low", "emotional_arc": "escalating"}
variant_2	0.925	discard	{"rhythm": "mixed", "vocab_register": "street"}
post_1	0.8	generated	{"data_density": "high", "emotional_arc": "escalating"}
post_2	0.775	generated	{"data_density": "high"}
post_1	0.625	generated	{"hook_type": "personal_anecdote", "vocab_register": "street"}
post_2	0.575	generated	{"hook_type": "curiosity_gap", "rhythm": "flowing"}
post_3	0.475	generated	{"data_density": "low", "vocab_register": "street"}
post_4	0.475	generated	{"emotional_arc": "bookend"}
post_5	0.8	generated	{"rhythm": "mixed"}
post_1	0.8	generated	{"data_density": "medium"}	Kesendirian kronis bikin biaya metabolisme seluler naik 60%?	2026-04-22
post_2	0.65	generated	{"hook_type": "statistic_bomb", "emotional_arc": "escalating"}	Gue takut dinilai, jadi gue kabur dari kesendirian. Apa lo juga?	2026-04-22
post_3	0.4	generated	{"emotional_arc": "tension_release", "vocab_register": "balanced"}	Gue ngebaca, solitude jadi loneliness karena Revolusi Industri, sekarang teknologi jadi kambing hitam	2026-04-22
post_4	0.8	generated	{"emotional_arc": "escalating"}	Gue ngerasa aneh, notifikasi satu aja bisa ganggu pikiran selama 7 detik?	2026-04-22
post_5	0.6	generated	{"rhythm": "flowing", "data_density": "low"}	Gue pernah nyari hiburan pake gadget, tapi malah bikin gue merasa kesepian.	2026-04-22
